target_rva,target_size,zh_source,alternates,confidence,ghidra_name,anchor
0x0041D290,4756,Drawable.cpp,0,high,FUN_0081d290,StructureHeal
0x00795140,2761,W3DPushButton.cpp,0,high,FUN_00b95140,Cameo_push
0x004F2C00,2751,WOLGameSetupMenu.cpp,0,high,FUN_008f2c00,GameSpyGameOptionsMenu.wnd:ListboxChatWindowGameSpyGameSetup
0x0088EC50,2713,debug_cmd.cpp,0,high,FUN_00c8ec50,"list (g|l|d|a|c) [ <pattern> ]  Shows some or all items of a specific type.  The following items are supported: - g: command groups - l: log groups (only those encountered yet) - d: log groups with descriptions (only those that have descriptions) - a: asserts (only those hit yet) - c: crashes (only those failed yet)  If a pattern is specified only items matching that pattern are shown. A pattern can contain any character, letter, or a wildcard '*'.  Please note that assert and crash items have their line number appended to the current file name, e.g. debug.cpp(13). "
0x0042F5A0,2666,GameClient.cpp,0,high,FUN_0082f5a0,TheAnimationSoundModuleManager
0x001D88C0,2556,ObjectCreationList.cpp,0,high,FUN_005d88c0,GenericDebris
0x00346D60,1950,ScriptEngine.cpp,0,high,FUN_00746d60,Advancing SeqScript '
0x005091F0,1890,WOLQuickMatchMenu.cpp,0,high,FUN_009091f0,WOLQuickMatchMenu.wnd:StaticTextTitle
0x0050C160,1867,WOLWelcomeMenu.cpp,0,high,FUN_0090c160,WOLWelcomeMenu.wnd:StaticTextHighscorePoints
0x004CDF20,1709,LanGameOptionsMenu.cpp,0,high,FUN_008cdf20,Menus/LanMapSelectMenu.wnd
0x005A92D0,1661,CommandXlat.cpp,0,high,FUN_009a92d0,VoiceEnterStateAttackUnit
0x0064FB90,1440,PeerThread.cpp,0,high,FUN_00a4fb90,maxRealPlayers
0x004E8DC0,1422,ScoreScreen.cpp,0,high,FUN_008e8dc0,ScoreScreen.wnd:StaticTextGameSaveComplete
0x00791730,1380,W3DHorizontalSlider.cpp,0,high,FUN_00b91730," Highlighted: (%d,%d) -> (%d,%d), step %d/%g, full %d/%d"
0x00432010,1361,Drawable.h,0,high,FUN_00832010,Drawable
0x004E5420,1170,ScoreScreen.cpp,0,high,FUN_008e5420,ScoreScreen.wnd:ButtonAdd%d
0x002BE4A0,1160,CreateObjectDie.h,0,high,FUN_006be4a0,CreateObjectDie
0x00712F60,1112,W3DScene.cpp,0,high,FUN_00b12f60,RTS3DScene
0x00503FA0,1100,WOLMapSelectMenu.cpp,0,high,FUN_00903fa0,WOLMapSelectMenu.wnd:ButtonMapStartPosition%d
0x0053E870,1090,WOLLobbyMenu.cpp,0,high,FUN_0093e870,GUI:JoinFailedUnknownLadder
0x0007EEB0,1063,GameLOD.cpp,0,high,FUN_0047eeb0,BenchProfile = %s %d %f %f %f
0x004C8B40,1026,GameInfoWindow.cpp,0,high,FUN_008c8b40,GameinfoOBSRVR
0x004D0230,1010,LanMapSelectMenu.cpp,0,high,FUN_008d0230,LanMapSelectMenu.wnd:ButtonMapStartPosition%d
0x00886B00,987,urlBuilder.cpp,0,high,FUN_00c86b00,http://servserv.generals.ea.com/servserv/
0x004C3DE0,962,Diplomacy.cpp,0,high,FUN_008c3de0,Diplomacy.wnd:RadioButtonBuddies
0x004A5950,959,ControlBarCommand.cpp,0,high,FUN_008a5950,ControlBar.wnd:ButtonQueue01
0x00937900,951,statistics.cpp,0,high,FUN_00d37900,Set_DX8_Texture count: %d actual changes: %d  id      refs changes  size      name -------------------------------------- 
0x00371650,947,AIPlayer.cpp,0,high,FUN_00771650, - Building completed.
0x0050B440,942,WOLWelcomeMenu.cpp,0,high,FUN_0090b440,WOLWelcomeMenu.wnd:StaticTextChinaLastWeek
0x002B5800,941,DeployStyleAIUpdate.cpp,0,high,FUN_006b5800,Undeploy
0x003492A0,928,ScriptEngine.cpp,0,high,FUN_007492a0,DestroyDebugDialog
0x0088DC68,875,debug_except.cpp,0,high,FUN_00c8dc68,No stack data available - check for dbghelp.dll
0x004D1370,868,MapSelectMenu.cpp,0,high,FUN_008d1370,MapSelectMenu.wnd:RadioButtonSystemMaps
0x009F808E,849,Except.cpp,0,high,GetImageInfo,CreateToolhelp32Snapshot
0x0088D430,845,debug_except.cpp,0,high,FUN_00c8d430,"The thread tried to read or write data that is misaligned on hardware that does not provide alignment. For example, 16-bit values must be aligned on 2-byte boundaries; 32-bit values on 4-byte boundaries, and so on."
0x003928E0,839,LoadScreen.cpp,0,high,FUN_007928e0,TitleScreen
0x0034F160,829,Scripts.h,0,high,FUN_0074f160,<This Team>
0x004DDD10,823,PopupPlayerInfo.cpp,0,high,FUN_008ddd10,PopupPlayerInfo.wnd:CheckBoxNonAsianText
0x004E1D00,808,ReplayMenu.cpp,0,high,FUN_008e1d00,ReplayMenu.wnd:ButtonDeleteReplay
0x0033E490,783,ScriptEngine.cpp,0,high,FUN_0073e490,***WARNING: Script contains multiple non-singleton team conditions::***
0x004CAA90,781,KeyboardOptionsMenu.cpp,0,high,FUN_008caa90,KeyboardOptionsMenu.wnd:ParentKeyboardOptionsMenu
0x006A9910,747,MilesAudioManager.cpp,0,high,FUN_00aa9910,"  To remove this message, go to options.ini and change the line UseEAX3For3DAudio=1 to UseEAX3For3DAudio=0"
0x002683D0,745,NeutronBlastBehavior.h,0,high,FUN_006683d0,AttributeModifierWeatherBased
0x004C50F0,730,InGamePopupMessage.cpp,0,high,FUN_008c50f0,InGamePopupMessage.wnd:InGamePopupMessageParent
0x0078D810,723,W3DGameWindow.cpp,0,high,FUN_00b8d810,BorderBottomShort
0x00168ED0,716,AISkirmishPlayer.cpp,0,high,FUN_00568ed0, acquiring target enemy player: 
0x004C3480,714,Diplomacy.cpp,0,high,FUN_008c3480,Diplomacy.wnd:StaticTextStatus%d
0x0050D030,707,WOLWelcomeMenu.cpp,0,high,FUN_0090d030,Menus/WOLQuickMatchMenu.wnd
